PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=183 ttl=47 time=55.8 ms
64 bytes from 141.44.1.1: icmp_seq=184 ttl=47 time=77.4 ms
64 bytes from 141.44.1.1: icmp_seq=185 ttl=47 time=77.0 ms
64 bytes from 141.44.1.1: icmp_seq=186 ttl=47 time=147 ms
64 bytes from 141.44.1.1: icmp_seq=187 ttl=47 time=113 ms
64 bytes from 141.44.1.1: icmp_seq=188 ttl=47 time=106 ms
64 bytes from 141.44.1.1: icmp_seq=189 ttl=47 time=64.5 ms
64 bytes from 141.44.1.1: icmp_seq=190 ttl=47 time=102 ms
64 bytes from 141.44.1.1: icmp_seq=191 ttl=47 time=100 ms
64 bytes from 141.44.1.1: icmp_seq=192 ttl=47 time=64.9 ms
64 bytes from 141.44.1.1: icmp_seq=193 ttl=47 time=81.0 ms
64 bytes from 141.44.1.1: icmp_seq=194 ttl=47 time=67.3 ms
64 bytes from 141.44.1.1: icmp_seq=195 ttl=47 time=62.5 ms
64 bytes from 141.44.1.1: icmp_seq=196 ttl=47 time=56.4 ms
64 bytes from 141.44.1.1: icmp_seq=197 ttl=47 time=64.0 ms
64 bytes from 141.44.1.1: icmp_seq=198 ttl=47 time=54.3 ms
64 bytes from 141.44.1.1: icmp_seq=199 ttl=47 time=53.3 ms
64 bytes from 141.44.1.1: icmp_seq=200 ttl=47 time=51.4 ms
64 bytes from 141.44.1.1: icmp_seq=201 ttl=47 time=71.9 ms
64 bytes from 141.44.1.1: icmp_seq=202 ttl=47 time=68.8 ms
64 bytes from 141.44.1.1: icmp_seq=203 ttl=47 time=56.2 ms
64 bytes from 141.44.1.1: icmp_seq=204 ttl=47 time=65.6 ms
64 bytes from 141.44.1.1: icmp_seq=205 ttl=47 time=64.1 ms
64 bytes from 141.44.1.1: icmp_seq=206 ttl=47 time=103 ms
64 bytes from 141.44.1.1: icmp_seq=207 ttl=47 time=70.1 ms
64 bytes from 141.44.1.1: icmp_seq=208 ttl=47 time=101 ms
64 bytes from 141.44.1.1: icmp_seq=209 ttl=47 time=76.4 ms
64 bytes from 141.44.1.1: icmp_seq=210 ttl=47 time=59.9 ms
64 bytes from 141.44.1.1: icmp_seq=211 ttl=47 time=65.8 ms
64 bytes from 141.44.1.1: icmp_seq=212 ttl=47 time=87.7 ms
64 bytes from 141.44.1.1: icmp_seq=213 ttl=47 time=53.7 ms
64 bytes from 141.44.1.1: icmp_seq=214 ttl=47 time=53.7 ms
64 bytes from 141.44.1.1: icmp_seq=215 ttl=47 time=77.5 ms
64 bytes from 141.44.1.1: icmp_seq=216 ttl=47 time=90.7 ms
64 bytes from 141.44.1.1: icmp_seq=217 ttl=47 time=113 ms
64 bytes from 141.44.1.1: icmp_seq=219 ttl=47 time=5020 ms
64 bytes from 141.44.1.1: icmp_seq=220 ttl=47 time=6678 ms
64 bytes from 141.44.1.1: icmp_seq=221 ttl=47 time=7375 ms
64 bytes from 141.44.1.1: icmp_seq=222 ttl=47 time=6352 ms
64 bytes from 141.44.1.1: icmp_seq=223 ttl=47 time=5328 ms
64 bytes from 141.44.1.1: icmp_seq=224 ttl=47 time=5864 ms
64 bytes from 141.44.1.1: icmp_seq=225 ttl=47 time=6031 ms
64 bytes from 141.44.1.1: icmp_seq=226 ttl=47 time=6104 ms
64 bytes from 141.44.1.1: icmp_seq=227 ttl=47 time=5224 ms
64 bytes from 141.44.1.1: icmp_seq=228 ttl=47 time=4471 ms
64 bytes from 141.44.1.1: icmp_seq=229 ttl=47 time=4632 ms
64 bytes from 141.44.1.1: icmp_seq=230 ttl=47 time=3911 ms
64 bytes from 141.44.1.1: icmp_seq=231 ttl=47 time=2988 ms
64 bytes from 141.44.1.1: icmp_seq=232 ttl=47 time=2096 ms
64 bytes from 141.44.1.1: icmp_seq=233 ttl=47 time=1636 ms
64 bytes from 141.44.1.1: icmp_seq=234 ttl=47 time=636 ms
64 bytes from 141.44.1.1: icmp_seq=235 ttl=47 time=158 ms
64 bytes from 141.44.1.1: icmp_seq=236 ttl=47 time=176 ms
64 bytes from 141.44.1.1: icmp_seq=237 ttl=47 time=334 ms
64 bytes from 141.44.1.1: icmp_seq=238 ttl=47 time=336 ms
64 bytes from 141.44.1.1: icmp_seq=239 ttl=47 time=395 ms
64 bytes from 141.44.1.1: icmp_seq=240 ttl=47 time=1275 ms
64 bytes from 141.44.1.1: icmp_seq=241 ttl=47 time=392 ms
64 bytes from 141.44.1.1: icmp_seq=242 ttl=47 time=233 ms
64 bytes from 141.44.1.1: icmp_seq=243 ttl=47 time=192 ms
64 bytes from 141.44.1.1: icmp_seq=244 ttl=47 time=1013 ms
64 bytes from 141.44.1.1: icmp_seq=245 ttl=47 time=198 ms
64 bytes from 141.44.1.1: icmp_seq=246 ttl=47 time=176 ms
64 bytes from 141.44.1.1: icmp_seq=247 ttl=47 time=196 ms
64 bytes from 141.44.1.1: icmp_seq=248 ttl=47 time=155 ms
64 bytes from 141.44.1.1: icmp_seq=249 ttl=47 time=155 ms
64 bytes from 141.44.1.1: icmp_seq=250 ttl=47 time=173 ms
64 bytes from 141.44.1.1: icmp_seq=251 ttl=47 time=193 ms
64 bytes from 141.44.1.1: icmp_seq=252 ttl=47 time=230 ms
64 bytes from 141.44.1.1: icmp_seq=253 ttl=47 time=172 ms
64 bytes from 141.44.1.1: icmp_seq=254 ttl=47 time=172 ms
64 bytes from 141.44.1.1: icmp_seq=255 ttl=47 time=210 ms
64 bytes from 141.44.1.1: icmp_seq=256 ttl=47 time=188 ms
64 bytes from 141.44.1.1: icmp_seq=257 ttl=47 time=170 ms
64 bytes from 141.44.1.1: icmp_seq=258 ttl=47 time=207 ms
64 bytes from 141.44.1.1: icmp_seq=259 ttl=47 time=186 ms
64 bytes from 141.44.1.1: icmp_seq=260 ttl=47 time=206 ms
64 bytes from 141.44.1.1: icmp_seq=261 ttl=47 time=848 ms
64 bytes from 141.44.1.1: icmp_seq=262 ttl=47 time=425 ms
64 bytes from 141.44.1.1: icmp_seq=263 ttl=47 time=287 ms
64 bytes from 141.44.1.1: icmp_seq=264 ttl=47 time=164 ms
64 bytes from 141.44.1.1: icmp_seq=265 ttl=47 time=165 ms
64 bytes from 141.44.1.1: icmp_seq=266 ttl=47 time=182 ms
64 bytes from 141.44.1.1: icmp_seq=267 ttl=47 time=161 ms
64 bytes from 141.44.1.1: icmp_seq=268 ttl=47 time=179 ms
64 bytes from 141.44.1.1: icmp_seq=269 ttl=47 time=180 ms
64 bytes from 141.44.1.1: icmp_seq=270 ttl=47 time=421 ms
64 bytes from 141.44.1.1: icmp_seq=271 ttl=47 time=838 ms
64 bytes from 141.44.1.1: icmp_seq=272 ttl=47 time=437 ms
64 bytes from 141.44.1.1: icmp_seq=273 ttl=47 time=180 ms
64 bytes from 141.44.1.1: icmp_seq=274 ttl=47 time=177 ms
64 bytes from 141.44.1.1: icmp_seq=275 ttl=47 time=519 ms
64 bytes from 141.44.1.1: icmp_seq=276 ttl=47 time=759 ms
64 bytes from 141.44.1.1: icmp_seq=277 ttl=47 time=199 ms
64 bytes from 141.44.1.1: icmp_seq=278 ttl=47 time=177 ms
64 bytes from 141.44.1.1: icmp_seq=279 ttl=47 time=238 ms
64 bytes from 141.44.1.1: icmp_seq=280 ttl=47 time=317 ms
64 bytes from 141.44.1.1: icmp_seq=281 ttl=47 time=175 ms
64 bytes from 141.44.1.1: icmp_seq=282 ttl=47 time=153 ms
64 bytes from 141.44.1.1: icmp_seq=283 ttl=47 time=173 ms
64 bytes from 141.44.1.1: icmp_seq=284 ttl=47 time=155 ms
