PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=242 ttl=54 time=137 ms
64 bytes from 141.44.1.1: icmp_seq=243 ttl=54 time=100 ms
64 bytes from 141.44.1.1: icmp_seq=244 ttl=54 time=124 ms
64 bytes from 141.44.1.1: icmp_seq=246 ttl=54 time=132 ms
64 bytes from 141.44.1.1: icmp_seq=248 ttl=54 time=1690 ms
64 bytes from 141.44.1.1: icmp_seq=249 ttl=54 time=2706 ms
64 bytes from 141.44.1.1: icmp_seq=250 ttl=54 time=2080 ms
64 bytes from 141.44.1.1: icmp_seq=251 ttl=54 time=1253 ms
64 bytes from 141.44.1.1: icmp_seq=253 ttl=54 time=217 ms
64 bytes from 141.44.1.1: icmp_seq=254 ttl=54 time=309 ms
64 bytes from 141.44.1.1: icmp_seq=255 ttl=54 time=206 ms
64 bytes from 141.44.1.1: icmp_seq=256 ttl=54 time=132 ms
64 bytes from 141.44.1.1: icmp_seq=257 ttl=54 time=311 ms
64 bytes from 141.44.1.1: icmp_seq=259 ttl=54 time=517 ms
64 bytes from 141.44.1.1: icmp_seq=260 ttl=54 time=1347 ms
64 bytes from 141.44.1.1: icmp_seq=261 ttl=54 time=1533 ms
64 bytes from 141.44.1.1: icmp_seq=263 ttl=54 time=2324 ms
64 bytes from 141.44.1.1: icmp_seq=264 ttl=54 time=1435 ms
64 bytes from 141.44.1.1: icmp_seq=265 ttl=54 time=1924 ms
64 bytes from 141.44.1.1: icmp_seq=266 ttl=54 time=1289 ms
64 bytes from 141.44.1.1: icmp_seq=267 ttl=54 time=853 ms
64 bytes from 141.44.1.1: icmp_seq=268 ttl=54 time=525 ms
64 bytes from 141.44.1.1: icmp_seq=269 ttl=54 time=742 ms
64 bytes from 141.44.1.1: icmp_seq=271 ttl=54 time=1520 ms
64 bytes from 141.44.1.1: icmp_seq=272 ttl=54 time=779 ms
64 bytes from 141.44.1.1: icmp_seq=273 ttl=54 time=677 ms
64 bytes from 141.44.1.1: icmp_seq=274 ttl=54 time=649 ms
64 bytes from 141.44.1.1: icmp_seq=275 ttl=54 time=343 ms
64 bytes from 141.44.1.1: icmp_seq=276 ttl=54 time=190 ms
64 bytes from 141.44.1.1: icmp_seq=277 ttl=54 time=151 ms
64 bytes from 141.44.1.1: icmp_seq=278 ttl=54 time=351 ms
64 bytes from 141.44.1.1: icmp_seq=279 ttl=54 time=196 ms
64 bytes from 141.44.1.1: icmp_seq=280 ttl=54 time=1210 ms
64 bytes from 141.44.1.1: icmp_seq=281 ttl=54 time=2858 ms
64 bytes from 141.44.1.1: icmp_seq=282 ttl=54 time=2234 ms
64 bytes from 141.44.1.1: icmp_seq=283 ttl=54 time=1422 ms
64 bytes from 141.44.1.1: icmp_seq=284 ttl=54 time=736 ms
64 bytes from 141.44.1.1: icmp_seq=285 ttl=54 time=639 ms
64 bytes from 141.44.1.1: icmp_seq=287 ttl=54 time=1167 ms
64 bytes from 141.44.1.1: icmp_seq=288 ttl=54 time=779 ms
64 bytes from 141.44.1.1: icmp_seq=289 ttl=54 time=564 ms
64 bytes from 141.44.1.1: icmp_seq=291 ttl=54 time=605 ms
64 bytes from 141.44.1.1: icmp_seq=292 ttl=54 time=831 ms
64 bytes from 141.44.1.1: icmp_seq=293 ttl=54 time=899 ms
64 bytes from 141.44.1.1: icmp_seq=294 ttl=54 time=1048 ms
64 bytes from 141.44.1.1: icmp_seq=295 ttl=54 time=517 ms
64 bytes from 141.44.1.1: icmp_seq=296 ttl=54 time=156 ms
64 bytes from 141.44.1.1: icmp_seq=298 ttl=54 time=140 ms
64 bytes from 141.44.1.1: icmp_seq=299 ttl=54 time=124 ms
64 bytes from 141.44.1.1: icmp_seq=300 ttl=54 time=278 ms
64 bytes from 141.44.1.1: icmp_seq=301 ttl=54 time=327 ms
64 bytes from 141.44.1.1: icmp_seq=302 ttl=54 time=305 ms
64 bytes from 141.44.1.1: icmp_seq=303 ttl=54 time=707 ms
64 bytes from 141.44.1.1: icmp_seq=304 ttl=54 time=532 ms
64 bytes from 141.44.1.1: icmp_seq=305 ttl=54 time=213 ms
64 bytes from 141.44.1.1: icmp_seq=306 ttl=54 time=96.9 ms
64 bytes from 141.44.1.1: icmp_seq=307 ttl=54 time=115 ms
64 bytes from 141.44.1.1: icmp_seq=310 ttl=54 time=2779 ms
64 bytes from 141.44.1.1: icmp_seq=311 ttl=54 time=1887 ms
64 bytes from 141.44.1.1: icmp_seq=313 ttl=54 time=668 ms
